row_id,result
0,"78"
1,""
2,"156"
3,""
4,""
5,"179"
6,"189,267,171"
7,"51,209,13,130,15"
8,"207,76"
9,"115"
10,"104,199,246"
11,"185,240"
12,"125"
13,"101,81"
14,""
15,""
16,""
17,""
18,"140,153,57,98"
19,""
20,"242,168"
21,""
22,""
23,""
24,""
25,""
26,""
27,""
28,"234"
29,""
30,""
31,""
32,""
33,"272"
34,"121"
35,"54,161,45,247,265,193,179,7,43,223,105,129,29,35,276,130,93,216,263,203,103,97,71,141,102,132,49,72,210,62,198,160,158,175,31,272,118,252,164,127,225,169,82,194,42,186,50,75,79,109,283,260,280,230,148,199,206,143,69,191,59,150,25,255,133,117,195,274,98,34,165,282,237,205,113,4,1,202,242,20,6,235,271,182,21,68,76,92,83,77,221,224,162,157,286,227,39,267,207,22,106,152,110,190,55,201,53,264,5,28,146,183,245,24,99,86,135,208,233,220,16,57,64,26,40,163,41,44,0,134,18,144,215,169,67,91,136,108,168,196,124,233,166,193,188,169,187,86,58,256,262,33,240,206,234,151,202,28,254,280,232,52,153,155,265,11,246,285,229,192,168,197,39,171,152,199,160,126,50,128,203,147,166,11,124,251,173,79,266,214,240,239,245,233,212,228,2,139,118,181,165,0,14,220,225,65,180,146,110,112,226,46,215,210,154,286,167,126,95,119,268,68,189,253,232,102,222,14,1,226,46,215,122,67,201,264,44,269,169,136,194,52,66,212,159,211,125,284,95,13,272,61,142,61,163,147,224,255,105,218,119,175,256,31,114,228,159,57,173,183,52,82,66,161,162,244,104,285,260,213,177,16,157,170,276,190,56,272,61,62,198,160,158,247,175,31,276,272,118,252,164,51,155,122,20,9,90,260,33,180,213,14,86,242,38,40,223,114,216,115,111,132,184,269,209,259,244,104,195,208,268,112,51,209,13,130,15,187,55,191,200,55,118,216,81,262,202,174,153,154,28,58,64,244,129,108,182,272,283,15,159,30,140,259,25,90,40,271,27,174,101,81,278,152,77,80,160,191,125,103,147,269,160,158,154,136,133,121,268,81,3,36,226,77,158,153,154,140,235,50,182,197,41,49,157,100,268,174,266,234,155,175,256,173,266,252,115,112,52,2,124,185,276,4,45,91,170,37,128,132,91,281,30,9,185,218,130,278,184,59,265,64,275,37,207,232,193,41,246,191,242,125,274,197,27,112,244,104,128,262,185,177,140,211,284,121,272,32,251,208,268,29,142,190,52,139,249,178,178,274,274,140,244,196,31,268,181,23,21,21,275,86,128,188,174,252,145,227,130,172,214,15,264,34,14,1,234,69,189,267,171,262,264,171,232,145,3,239,115,111,132,177,88,118,203,234,80,212,242,172,125"
36,"140,235,50"
37,""
38,""
39,"158,153,154,140,235,50,182,197,41,49"
40,"187,55,191,200"
41,""
42,"59,265,64,275,37,207,232"
43,""
44,""
45,"286,270,56,29,175,33,32,165"
46,"166,124"
47,""
48,"108,271"
49,""
50,""
51,""
52,""
53,""
54,""
55,""
56,""
57,""
58,""
59,""
60,""
61,""
62,""
63,""
64,""
65,""
66,"127,225,169"
67,"190,52"
68,"127,233,54,16,,55,166,162,86,20,247,286,179,156,123,88,,279,2,,125,104,235,201,,96,,236,114,41,275,276,266,200,216,39,264,163,33,145,252,240,239,71,141,230,282,102,,206,1,234,153,154,28,58,64,244,129,108,182,272,283,15"
69,""
70,""
71,""
72,"51,26,271,96,75"
73,""
74,"44,71"
75,""
76,""
77,""
87,"127,221,5,233,,,151,220,54,215"
