row_id,result
1,"78"
2,"1,1,1,1,1,1,1"
3,"156"
4,"1"
5,"1"
6,"179"
7,"189,267,171"
8,"51,209,13,130,15"
9,"207,76"
10,"1"
11,"104,199,246"
12,"185,240"
13,"125"
14,"101,81"
15,"1"
16,"1"
17,"1"
18,"1"
19,"140,98"
20,"1"
21,"242,168"
22,"1"
23,"1"
24,"1"
25,"1"
26,"1"
27,"1"
28,"1"
29,"234"
30,"1"
31,"1"
32,"1"
33,"1"
34,"272"
35,"121"
36,"72,247,276"
37,"140,235,50"
38,"1"
39,"1"
40,"158,153,154,140,235,50,182,197,41,49"
41,"187,55,191,200"
42,"1"
43,"59,265,64,275,37,207"
44,"1"
45,"1"
46,"286,29,175,205"
47,"166,124,1"
48,"1"
49,"1"
50,"1"
51,"1"
52,"1"
53,"1"
54,"1"
55,"1"
56,"1"
57,"1"
58,"1"
59,"1"
60,"1"
61,"1"
62,"1"
63,"1"
64,"1"
65,"1"
66,"1"
67,"127,225,169"
68,"190,52"
69,"127,233,54,16,1,55,166,162,86,20,247,286,179,156,123,88,1,279,2,1,125,104,235,201,1,96,1,236,114,41,275,276,266,200,216,39,264,163,33,145,252,240,239,71,141,230,282,102,1,206,1,234,153,154,28,58,64,244,129,108,182,272,283,15"
70,"1"
71,"1"
72,"1"
73,"51,26,271,96,75"
74,"1"
75,"1,44,71"
76,"1"
77,"1"
78,"1"
79,"1"
80,"1"
81,"1"
82,"1"
83,"1"
84,"1"
85,"1"
86,"1"
87,"127,221,5,2331151,220,54,215"
88,"1"
89,"1"
90,"1"
91,"1"
92,"1"
93,"1"
94,"1"
95,"1"
96,"1"
97,"209,9,150,262,132,113"
98,"1"
99,"233,54,1,166"
100,"1"
